broker_name,channel_type,performance_tier,business_segment,risk_level,sales_units,cancel_units,net_units,total_transactions,net_value,sales_value,cancel_value,cancel_rate_pct,sales_rate_pct,conversion_rate,avg_ticket_size,avg_sales_ticket,avg_cancel_ticket,revenue_per_transaction,share_of_total_value_pct,share_of_total_units_pct,share_of_sales_value_pct,revenue_rank,volume_rank,efficiency_rank,revenue_score,volume_score,quality_score,overall_performance_score,efficiency_vs_market,growth_potential
Broker 221,Broker,Basic,Emerging Partner,Excellent,11,0,11,11,996300745.5999998,996300745.5999998,0.0,0.0,100.0,100.0,90572795.05,90572795.05,0.0,90572795.05,0.2,0.42,0.22,102,21,425,0.5,0.9,30.0,31.4,-51.1,Medium
Broker 106,Broker,Basic,Emerging Partner,Low Risk,9,1,8,10,982241114.5100001,822959754.4100001,-159281360.1,11.11,90.0,90.0,122780139.31,91439972.71,-159281360.1,98224111.45,0.2,0.3,0.18,103,24,365,0.5,0.6,29.2,30.3,-33.7,Low
Broker 575,Broker,Basic,Emerging Partner,Excellent,3,0,3,3,967767251.9,967767251.9,0.0,0.0,100.0,100.0,322589083.97,322589083.97,0.0,322589083.97,0.2,0.11,0.22,104,29,42,0.5,0.2,30.0,30.7,74.3,High
Broker 180,Broker,Basic,Emerging Partner,Excellent,7,0,7,7,967623074.05,967623074.05,0.0,0.0,100.0,100.0,138231867.72,138231867.72,0.0,138231867.72,0.2,0.27,0.22,105,25,330,0.5,0.6,30.0,31.1,-25.3,Medium
Broker 263,Broker,Basic,Emerging Partner,Excellent,4,0,4,4,967231047.4,967231047.4,0.0,0.0,100.0,100.0,241807761.85,241807761.85,0.0,241807761.85,0.2,0.15,0.22,106,28,114,0.5,0.3,30.0,30.8,30.6,High
Broker 92,Broker,Basic,Emerging Partner,Excellent,6,0,6,6,963371924.05,963371924.05,0.0,0.0,100.0,100.0,160561987.34,160561987.34,0.0,160561987.34,0.2,0.23,0.22,107,26,289,0.5,0.5,30.0,31.0,-13.2,Medium
Broker 439,Broker,Basic,Emerging Partner,Excellent,5,0,5,5,951313313.3000001,951313313.3000001,0.0,0.0,100.0,100.0,190262662.66,190262662.66,0.0,190262662.66,0.2,0.19,0.21,108,27,205,0.4,0.4,30.0,30.8,2.8,High
Broker 156,Broker,Basic,Emerging Partner,Medium Risk,4,1,3,5,949918411.12,700260526.72,-249657884.4,25.0,80.0,80.0,316639470.37,175065131.68,-249657884.4,189983682.22,0.19,0.11,0.16,109,29,44,0.4,0.2,28.1,28.7,71.1,Medium
Broker 450,Broker,Basic,Emerging Partner,High Risk,3,1,2,4,939149214.8,652256820.8,-286892394.0,33.33,75.0,75.0,469574607.4,217418940.27,-286892394.0,234787303.7,0.19,0.08,0.15,110,30,19,0.4,0.2,27.5,28.1,153.7,Medium
Broker 472,Broker,Basic,Emerging Partner,Excellent,4,0,4,4,922763756.8,922763756.8,0.0,0.0,100.0,100.0,230690939.2,230690939.2,0.0,230690939.2,0.19,0.15,0.21,111,28,132,0.4,0.3,30.0,30.7,24.6,High
Broker 357,Broker,Basic,Emerging Partner,Excellent,1,0,1,1,895268227.8,895268227.8,0.0,0.0,100.0,100.0,895268227.8,895268227.8,0.0,895268227.8,0.18,0.04,0.2,112,31,5,0.4,0.1,30.0,30.5,383.7,High
Broker 468,Broker,Basic,Emerging Partner,Excellent,5,0,5,5,884657479.0600002,884657479.0600002,0.0,0.0,100.0,100.0,176931495.81,176931495.81,0.0,176931495.81,0.18,0.19,0.2,113,27,245,0.4,0.4,30.0,30.8,-4.4,Medium
Broker 248,Broker,Basic,Emerging Partner,Excellent,2,0,2,2,879772969.4,879772969.4,0.0,0.0,100.0,100.0,439886484.7,439886484.7,0.0,439886484.7,0.18,0.08,0.2,114,30,24,0.4,0.2,30.0,30.6,137.7,High
Broker 449,Broker,Basic,Emerging Partner,Excellent,5,0,5,5,874488619.3199999,874488619.3199999,0.0,0.0,100.0,100.0,174897723.86,174897723.86,0.0,174897723.86,0.18,0.19,0.2,115,27,250,0.4,0.4,30.0,30.8,-5.5,Medium
Broker 409,Broker,Basic,Emerging Partner,High Risk,4,2,2,6,870169293.4000001,659455956.4000001,-210713337.0,50.0,66.67,66.67,435084646.7,164863989.1,-105356668.5,145028215.57,0.18,0.08,0.15,116,30,26,0.4,0.2,26.2,26.8,135.1,Medium
Broker 425,Broker,Basic,Emerging Partner,High Risk,3,1,2,4,865732885.3000001,629181853.3000001,-236551032.0,33.33,75.0,75.0,432866442.65,209727284.43,-236551032.0,216433221.33,0.18,0.08,0.14,117,30,27,0.4,0.2,27.5,28.1,133.9,Medium
Broker 249,Broker,Basic,Emerging Partner,Excellent,3,0,3,3,858008503.8000001,858008503.8000001,0.0,0.0,100.0,100.0,286002834.6,286002834.6,0.0,286002834.6,0.18,0.11,0.19,118,29,59,0.4,0.2,30.0,30.6,54.5,High
Broker 471,Broker,Basic,Emerging Partner,High Risk,2,1,1,3,855342047.7,558305809.2,-297036238.5,50.0,66.67,66.67,855342047.7,279152904.6,-297036238.5,285114015.9,0.18,0.04,0.12,119,31,6,0.4,0.1,26.2,26.7,362.1,Medium
Broker 566,Broker,Basic,Emerging Partner,Medium Risk,4,1,3,5,853118592.5699999,654912102.77,-198206489.8,25.0,80.0,80.0,284372864.19,163728025.69,-198206489.8,170623718.51,0.17,0.11,0.15,120,29,61,0.4,0.2,28.1,28.7,53.6,Medium
Broker 457,Broker,Basic,Emerging Partner,Excellent,5,0,5,5,836314935.5699999,836314935.5699999,0.0,0.0,100.0,100.0,167262987.11,167262987.11,0.0,167262987.11,0.17,0.19,0.19,121,27,267,0.4,0.4,30.0,30.8,-9.6,Medium
Broker 475,Broker,Basic,Emerging Partner,High Risk,2,1,1,3,830949425.0,556364831.6,-274584593.4,50.0,66.67,66.67,830949425.0,278182415.8,-274584593.4,276983141.67,0.17,0.04,0.12,122,31,7,0.4,0.1,26.2,26.7,349.0,Medium
Broker 464,Broker,Basic,Emerging Partner,Excellent,4,0,4,4,822563665.5300001,822563665.5300001,0.0,0.0,100.0,100.0,205640916.38,205640916.38,0.0,205640916.38,0.17,0.15,0.18,123,28,172,0.4,0.3,30.0,30.7,11.1,High
Broker 72,Broker,Basic,Emerging Partner,Low Risk,10,1,9,11,819357154.1,780044891.78,-39312262.32,10.0,90.91,90.91,91039683.79,78004489.18,-39312262.32,74487014.01,0.17,0.34,0.17,124,23,423,0.4,0.7,29.2,30.3,-50.8,Low
Broker 166,Broker,Basic,Emerging Partner,High Risk,3,1,2,4,809553147.55,604073025.35,-205480122.2,33.33,75.0,75.0,404776573.77,201357675.12,-205480122.2,202388286.89,0.17,0.08,0.14,125,30,29,0.4,0.2,27.5,28.1,118.7,Medium
Broker 521,Broker,Basic,Emerging Partner,High Risk,3,1,2,4,808576370.97,502781877.46999997,-305794493.5,33.33,75.0,75.0,404288185.49,167593959.16,-305794493.5,202144092.74,0.17,0.08,0.11,126,30,30,0.4,0.2,27.5,28.1,118.4,Medium
Broker 267,Broker,Basic,Emerging Partner,Excellent,1,0,1,1,800141592.6,800141592.6,0.0,0.0,100.0,100.0,800141592.6,800141592.6,0.0,800141592.6,0.16,0.04,0.18,127,31,8,0.4,0.1,30.0,30.5,332.3,High
Broker 318,Broker,Basic,Emerging Partner,High Risk,3,1,2,4,799384296.6,689889629.4,-109494667.2,33.33,75.0,75.0,399692148.3,229963209.8,-109494667.2,199846074.15,0.16,0.08,0.15,128,30,31,0.4,0.2,27.5,28.1,116.0,Medium
Broker 57,Broker,Basic,Emerging Partner,High Risk,5,3,2,8,799209739.47,361346415.59,-437863323.88,60.0,62.5,62.5,399604869.74,72269283.12,-145954441.29,99901217.43,0.16,0.08,0.08,129,30,32,0.4,0.2,25.5,26.1,115.9,Medium
Broker 431,Broker,Basic,Emerging Partner,Excellent,4,0,4,4,793439973.1,793439973.1,0.0,0.0,100.0,100.0,198359993.28,198359993.28,0.0,198359993.28,0.16,0.15,0.18,130,28,183,0.4,0.3,30.0,30.7,7.2,High
Broker 461,Broker,Basic,Emerging Partner,Excellent,4,0,4,4,789846943.7,789846943.7,0.0,0.0,100.0,100.0,197461735.93,197461735.93,0.0,197461735.93,0.16,0.15,0.18,131,28,185,0.4,0.3,30.0,30.7,6.7,High
Broker 497,Broker,Basic,Emerging Partner,Excellent,4,0,4,4,782086462.4499999,782086462.4499999,0.0,0.0,100.0,100.0,195521615.61,195521615.61,0.0,195521615.61,0.16,0.15,0.17,132,28,189,0.4,0.3,30.0,30.7,5.6,High
Broker 491,Broker,Basic,Emerging Partner,Excellent,3,0,3,3,779461793.3,779461793.3,0.0,0.0,100.0,100.0,259820597.77,259820597.77,0.0,259820597.77,0.16,0.11,0.17,133,29,89,0.4,0.2,30.0,30.6,40.4,High
Broker 453,Broker,Basic,Emerging Partner,Excellent,4,0,4,4,772101712.5,772101712.5,0.0,0.0,100.0,100.0,193025428.12,193025428.12,0.0,193025428.12,0.16,0.15,0.17,134,28,196,0.4,0.3,30.0,30.7,4.3,High
Broker 547,Broker,Basic,Emerging Partner,Excellent,3,0,3,3,772016914.4,772016914.4,0.0,0.0,100.0,100.0,257338971.47,257338971.47,0.0,257338971.47,0.16,0.11,0.17,135,29,91,0.4,0.2,30.0,30.6,39.0,High
Broker 554,Broker,Basic,Emerging Partner,Excellent,4,0,4,4,770518824.6999999,770518824.6999999,0.0,0.0,100.0,100.0,192629706.17,192629706.17,0.0,192629706.17,0.16,0.15,0.17,136,28,197,0.4,0.3,30.0,30.7,4.1,High
Broker 440,Broker,Basic,Emerging Partner,Excellent,3,0,3,3,760291695.2,760291695.2,0.0,0.0,100.0,100.0,253430565.07,253430565.07,0.0,253430565.07,0.16,0.11,0.17,137,29,97,0.4,0.2,30.0,30.6,36.9,High
Broker 112,Broker,Basic,Emerging Partner,High Risk,6,2,4,8,759454742.51,517679877.81,-241774864.70000002,33.33,75.0,75.0,189863685.63,86279979.64,-120887432.35,94931842.81,0.16,0.15,0.12,138,28,209,0.4,0.3,27.5,28.2,2.6,Low
Broker 41,Broker,Basic,Emerging Partner,Low Risk,8,1,7,9,756115249.0699999,712442784.53,-43672464.54,12.5,88.89,88.89,108016464.15,89055348.07,-43672464.54,84012805.45,0.16,0.27,0.16,139,25,387,0.4,0.6,29.1,30.1,-41.6,Low
Broker 268,Broker,Basic,Emerging Partner,Excellent,1,0,1,1,750524774.4,750524774.4,0.0,0.0,100.0,100.0,750524774.4,750524774.4,0.0,750524774.4,0.15,0.04,0.17,140,31,9,0.4,0.1,30.0,30.5,305.5,High
Broker 24,Broker,Basic,Emerging Partner,Excellent,6,0,6,6,746896555.24,746896555.24,0.0,0.0,100.0,100.0,124482759.21,124482759.21,0.0,124482759.21,0.15,0.23,0.17,141,26,360,0.4,0.5,30.0,30.9,-32.7,Medium
Broker 325,Broker,Basic,Emerging Partner,Excellent,4,0,4,4,746306021.4200001,746306021.4200001,0.0,0.0,100.0,100.0,186576505.36,186576505.36,0.0,186576505.36,0.15,0.15,0.17,142,28,223,0.3,0.3,30.0,30.6,0.8,High
Broker 573,Broker,Basic,Emerging Partner,Excellent,3,0,3,3,741043738.6999999,741043738.6999999,0.0,0.0,100.0,100.0,247014579.57,247014579.57,0.0,247014579.57,0.15,0.11,0.17,143,29,105,0.3,0.2,30.0,30.5,33.5,High
Broker 197,Broker,Basic,Emerging Partner,Excellent,6,0,6,6,737326525.3499999,737326525.3499999,0.0,0.0,100.0,100.0,122887754.22,122887754.22,0.0,122887754.22,0.15,0.23,0.16,144,26,364,0.3,0.5,30.0,30.8,-33.6,Medium
Broker 418,Broker,Basic,Emerging Partner,Excellent,4,0,4,4,736262174.21,736262174.21,0.0,0.0,100.0,100.0,184065543.55,184065543.55,0.0,184065543.55,0.15,0.15,0.16,145,28,229,0.3,0.3,30.0,30.6,-0.6,Medium
Broker 15,Broker,Basic,Emerging Partner,Excellent,9,0,9,9,733931863.58,733931863.58,0.0,0.0,100.0,100.0,81547984.84,81547984.84,0.0,81547984.84,0.15,0.34,0.16,146,23,442,0.3,0.7,30.0,31.0,-55.9,Medium
Broker 378,Broker,Basic,Emerging Partner,Excellent,10,0,10,10,731330228.8,731330228.8,0.0,0.0,100.0,100.0,73133022.88,73133022.88,0.0,73133022.88,0.15,0.38,0.16,147,22,460,0.3,0.8,30.0,31.1,-60.5,Medium
Broker 89,Broker,Basic,Emerging Partner,Excellent,3,0,3,3,729996635.3,729996635.3,0.0,0.0,100.0,100.0,243332211.77,243332211.77,0.0,243332211.77,0.15,0.11,0.16,148,29,109,0.3,0.2,30.0,30.5,31.5,High
Broker 84,Broker,Basic,Emerging Partner,Excellent,4,0,4,4,729395527.8299999,729395527.8299999,0.0,0.0,100.0,100.0,182348881.96,182348881.96,0.0,182348881.96,0.15,0.15,0.16,149,28,235,0.3,0.3,30.0,30.6,-1.5,Medium
Broker 170,Broker,Basic,Emerging Partner,Excellent,5,0,5,5,717272441.37,717272441.37,0.0,0.0,100.0,100.0,143454488.27,143454488.27,0.0,143454488.27,0.15,0.19,0.16,150,27,321,0.3,0.4,30.0,30.7,-22.5,Medium
Broker 447,Broker,Basic,Emerging Partner,Excellent,6,0,6,6,716407740.0600001,716407740.0600001,0.0,0.0,100.0,100.0,119401290.01,119401290.01,0.0,119401290.01,0.15,0.23,0.16,151,26,370,0.3,0.5,30.0,30.8,-35.5,Medium
Broker 331,Broker,Basic,Emerging Partner,High Risk,11,9,2,20,705115880.5899999,377953208.72999996,-327162671.86,81.82,55.0,55.0,352557940.29,34359382.61,-36351407.98,35255794.03,0.14,0.08,0.08,152,30,36,0.3,0.2,23.9,24.4,90.5,Medium
Broker 384,Broker,Basic,Emerging Partner,High Risk,2,3,-1,5,700173920.72,251552052.06,-448621868.66,150.0,40.0,40.0,0.0,125776026.03,-149540622.89,140034784.14,0.14,-0.04,0.06,153,33,619,0.3,-0.1,18.8,19.0,-100.0,Very Low
Broker 562,Broker,Basic,Emerging Partner,Excellent,3,0,3,3,699352829.2,699352829.2,0.0,0.0,100.0,100.0,233117609.73,233117609.73,0.0,233117609.73,0.14,0.11,0.16,154,29,126,0.3,0.2,30.0,30.5,26.0,High
Broker 496,Broker,Basic,Emerging Partner,Excellent,3,0,3,3,699202120.4,699202120.4,0.0,0.0,100.0,100.0,233067373.47,233067373.47,0.0,233067373.47,0.14,0.11,0.16,155,29,127,0.3,0.2,30.0,30.5,25.9,High
Broker 401,Broker,Basic,Emerging Partner,Medium Risk,5,1,4,6,693469196.24,537074530.5400001,-156394665.7,20.0,83.33,83.33,173367299.06,107414906.11,-156394665.7,115578199.37,0.14,0.15,0.12,156,28,255,0.3,0.3,28.5,29.1,-6.3,Very Low
Broker 168,Broker,Basic,Emerging Partner,High Risk,3,1,2,4,691797746.34,454025535.44000006,-237772210.9,33.33,75.0,75.0,345898873.17,151341845.15,-237772210.9,172949436.59,0.14,0.08,0.1,157,30,40,0.3,0.2,27.5,28.0,86.9,Medium
Broker 543,Broker,Basic,Emerging Partner,Excellent,3,0,3,3,687013406.2,687013406.2,0.0,0.0,100.0,100.0,229004468.73,229004468.73,0.0,229004468.73,0.14,0.11,0.15,158,29,135,0.3,0.2,30.0,30.5,23.7,High
Broker 27,Broker,Basic,Emerging Partner,Excellent,8,0,8,8,682109067.87,682109067.87,0.0,0.0,100.0,100.0,85263633.48,85263633.48,0.0,85263633.48,0.14,0.3,0.15,159,24,432,0.3,0.6,30.0,30.9,-53.9,Medium
Broker 162,Broker,Basic,Emerging Partner,Excellent,4,0,4,4,679800759.9,679800759.9,0.0,0.0,100.0,100.0,169950189.97,169950189.97,0.0,169950189.97,0.14,0.15,0.15,160,28,261,0.3,0.3,30.0,30.6,-8.2,Medium
Broker 442,Broker,Basic,Emerging Partner,High Risk,2,1,1,3,673825054.4,380414063.4,-293410991.0,50.0,66.67,66.67,673825054.4,190207031.7,-293410991.0,224608351.47,0.14,0.04,0.09,161,31,10,0.3,0.1,26.2,26.6,264.1,Medium
Broker 121,Broker,Basic,Emerging Partner,High Risk,3,1,2,4,670003822.4599999,526265019.55999994,-143738802.9,33.33,75.0,75.0,335001911.23,175421673.19,-143738802.9,167500955.61,0.14,0.08,0.12,162,30,41,0.3,0.2,27.5,28.0,81.0,Medium
Broker 251,Broker,Basic,Emerging Partner,Excellent,4,0,4,4,664395987.42,664395987.42,0.0,0.0,100.0,100.0,166098996.85,166098996.85,0.0,166098996.85,0.14,0.15,0.15,163,28,272,0.3,0.3,30.0,30.6,-10.3,Medium
Broker 634,Broker,Basic,Emerging Partner,High Risk,1,1,0,2,661121279.2,310401369.7,-350719909.5,100.0,50.0,50.0,0.0,310401369.7,-350719909.5,330560639.6,0.14,0.0,0.07,164,32,619,0.3,0.0,22.5,22.8,-100.0,Very Low
Broker 23,Broker,Basic,Emerging Partner,High Risk,2,1,1,3,657821178.3,499797658.8,-158023519.5,50.0,66.67,66.67,657821178.3,249898829.4,-158023519.5,219273726.1,0.13,0.04,0.11,165,31,11,0.3,0.1,26.2,26.6,255.4,Medium
Broker 503,Broker,Basic,Emerging Partner,Excellent,3,0,3,3,657388067.0,657388067.0,0.0,0.0,100.0,100.0,219129355.67,219129355.67,0.0,219129355.67,0.13,0.11,0.15,166,29,152,0.3,0.2,30.0,30.5,18.4,High
Broker 3,Broker,Basic,Emerging Partner,Excellent,5,0,5,5,657232516.75,657232516.75,0.0,0.0,100.0,100.0,131446503.35,131446503.35,0.0,131446503.35,0.13,0.19,0.15,167,27,349,0.3,0.4,30.0,30.7,-29.0,Medium
Broker 452,Broker,Basic,Emerging Partner,Excellent,4,0,4,4,652230712.75,652230712.75,0.0,0.0,100.0,100.0,163057678.19,163057678.19,0.0,163057678.19,0.13,0.15,0.15,168,28,280,0.3,0.3,30.0,30.6,-11.9,Medium
Broker 632,Broker,Basic,Emerging Partner,High Risk,2,1,1,3,647033913.2699999,557641098.5999999,-89392814.67,50.0,66.67,66.67,647033913.27,278820549.3,-89392814.67,215677971.09,0.13,0.04,0.12,169,31,12,0.3,0.1,26.2,26.6,249.6,Medium
Broker 564,Broker,Basic,Emerging Partner,Excellent,3,0,3,3,641796401.5999999,641796401.5999999,0.0,0.0,100.0,100.0,213932133.87,213932133.87,0.0,213932133.87,0.13,0.11,0.14,170,29,158,0.3,0.2,30.0,30.5,15.6,High
Broker 163,Broker,Basic,Emerging Partner,High Risk,2,2,0,4,638513868.08,476848648.1,-161665219.98,100.0,50.0,50.0,0.0,238424324.05,-80832609.99,159628467.02,0.13,0.0,0.11,171,32,619,0.3,0.0,22.5,22.8,-100.0,Very Low
Broker 91,Broker,Basic,Emerging Partner,Excellent,3,0,3,3,637548800.03,637548800.03,0.0,0.0,100.0,100.0,212516266.68,212516266.68,0.0,212516266.68,0.13,0.11,0.14,172,29,159,0.3,0.2,30.0,30.5,14.8,High
Broker 353,Broker,Basic,Emerging Partner,Excellent,3,0,3,3,637003700.4,637003700.4,0.0,0.0,100.0,100.0,212334566.8,212334566.8,0.0,212334566.8,0.13,0.11,0.14,173,29,160,0.3,0.2,30.0,30.5,14.7,High
Broker 530,Broker,Basic,Emerging Partner,Excellent,4,0,4,4,636078779.8399999,636078779.8399999,0.0,0.0,100.0,100.0,159019694.96,159019694.96,0.0,159019694.96,0.13,0.15,0.14,174,28,290,0.3,0.3,30.0,30.6,-14.1,Medium
Broker 413,Broker,Basic,Emerging Partner,Excellent,4,0,4,4,633108299.5,633108299.5,0.0,0.0,100.0,100.0,158277074.88,158277074.88,0.0,158277074.88,0.13,0.15,0.14,175,28,292,0.3,0.3,30.0,30.6,-14.5,Medium
Broker 383,Broker,Basic,Emerging Partner,High Risk,4,2,2,6,621750006.87,447396094.29,-174353912.57999998,50.0,66.67,66.67,310875003.44,111849023.57,-87176956.29,103625001.14,0.13,0.08,0.1,176,30,46,0.3,0.2,26.2,26.7,68.0,Medium
Broker 589,Broker,Basic,Emerging Partner,Excellent,3,0,3,3,620080766.9,620080766.9,0.0,0.0,100.0,100.0,206693588.97,206693588.97,0.0,206693588.97,0.13,0.11,0.14,177,29,165,0.3,0.2,30.0,30.5,11.7,High
Broker 429,Broker,Basic,Emerging Partner,Excellent,4,0,4,4,610487650.29,610487650.29,0.0,0.0,100.0,100.0,152621912.57,152621912.57,0.0,152621912.57,0.13,0.15,0.14,178,28,307,0.3,0.3,30.0,30.6,-17.5,Medium
Broker 130,Broker,Basic,Emerging Partner,Excellent,9,0,9,9,602818943.86,602818943.86,0.0,0.0,100.0,100.0,66979882.65,66979882.65,0.0,66979882.65,0.12,0.34,0.13,179,23,479,0.3,0.7,30.0,31.0,-63.8,Medium
Broker 380,Broker,Basic,Emerging Partner,Excellent,0,3,-3,3,598865457.49,0.0,-598865457.49,0.0,0.0,0.0,0.0,0.0,-199621819.16,199621819.16,0.12,-0.11,0.0,180,35,619,0.3,-0.2,30.0,30.1,-100.0,Medium
Broker 572,Broker,Basic,Emerging Partner,Excellent,3,0,3,3,598423549.05,598423549.05,0.0,0.0,100.0,100.0,199474516.35,199474516.35,0.0,199474516.35,0.12,0.11,0.13,181,29,179,0.3,0.2,30.0,30.5,7.8,High
Broker 165,Broker,Basic,Emerging Partner,High Risk,2,1,1,3,597068909.47,499919957.7,-97148951.77,50.0,66.67,66.67,597068909.47,249959978.85,-97148951.77,199022969.82,0.12,0.04,0.11,182,31,13,0.3,0.1,26.2,26.6,222.6,Medium
Broker 500,Broker,Basic,Emerging Partner,Excellent,3,0,3,3,595725709.9,595725709.9,0.0,0.0,100.0,100.0,198575236.63,198575236.63,0.0,198575236.63,0.12,0.11,0.13,183,29,181,0.3,0.2,30.0,30.5,7.3,High
Broker 540,Broker,Basic,Emerging Partner,Excellent,3,0,3,3,590176161.38,590176161.38,0.0,0.0,100.0,100.0,196725387.13,196725387.13,0.0,196725387.13,0.12,0.11,0.13,184,29,186,0.3,0.2,30.0,30.5,6.3,High
Broker 527,Broker,Basic,Emerging Partner,Excellent,3,0,3,3,584447400.6,584447400.6,0.0,0.0,100.0,100.0,194815800.2,194815800.2,0.0,194815800.2,0.12,0.11,0.13,185,29,191,0.3,0.2,30.0,30.5,5.3,High
Broker 441,Broker,Basic,Emerging Partner,Excellent,3,0,3,3,575317756.6999999,575317756.6999999,0.0,0.0,100.0,100.0,191772585.57,191772585.57,0.0,191772585.57,0.12,0.11,0.13,186,29,202,0.3,0.2,30.0,30.5,3.6,High
Broker 537,Broker,Basic,Emerging Partner,Excellent,2,0,2,2,574119567.3,574119567.3,0.0,0.0,100.0,100.0,287059783.65,287059783.65,0.0,287059783.65,0.12,0.08,0.13,187,30,56,0.3,0.2,30.0,30.5,55.1,High
Broker 456,Broker,Basic,Emerging Partner,Excellent,2,0,2,2,573500766.5999999,573500766.5999999,0.0,0.0,100.0,100.0,286750383.3,286750383.3,0.0,286750383.3,0.12,0.08,0.13,188,30,57,0.3,0.2,30.0,30.5,54.9,High
Broker 408,Broker,Basic,Emerging Partner,Excellent,3,0,3,3,569965914.4000001,569965914.4000001,0.0,0.0,100.0,100.0,189988638.13,189988638.13,0.0,189988638.13,0.12,0.11,0.13,189,29,208,0.3,0.2,30.0,30.5,2.6,High
Broker 534,Broker,Basic,Emerging Partner,Excellent,2,0,2,2,567192689.0,567192689.0,0.0,0.0,100.0,100.0,283596344.5,283596344.5,0.0,283596344.5,0.12,0.08,0.13,190,30,62,0.3,0.2,30.0,30.5,53.2,High
Broker 211,Broker,Basic,Emerging Partner,Excellent,5,0,5,5,565861994.25,565861994.25,0.0,0.0,100.0,100.0,113172398.85,113172398.85,0.0,113172398.85,0.12,0.19,0.13,191,27,380,0.3,0.4,30.0,30.7,-38.9,Medium
Broker 470,Broker,Basic,Emerging Partner,High Risk,3,1,2,4,564752881.27,407411501.87,-157341379.4,33.33,75.0,75.0,282376440.63,135803833.96,-157341379.4,141188220.32,0.12,0.08,0.09,192,30,65,0.3,0.2,27.5,28.0,52.6,Medium
Broker 335,Broker,Basic,Emerging Partner,Excellent,9,0,9,9,560172550.1400001,560172550.1400001,0.0,0.0,100.0,100.0,62241394.46,62241394.46,0.0,62241394.46,0.11,0.34,0.13,193,23,498,0.3,0.7,30.0,31.0,-66.4,Medium
Broker 630,Broker,Basic,Emerging Partner,Excellent,2,0,2,2,558718935.2,558718935.2,0.0,0.0,100.0,100.0,279359467.6,279359467.6,0.0,279359467.6,0.11,0.08,0.12,194,30,68,0.3,0.2,30.0,30.5,50.9,High
Broker 469,Broker,Basic,Emerging Partner,Excellent,3,0,3,3,555171493.62,555171493.62,0.0,0.0,100.0,100.0,185057164.54,185057164.54,0.0,185057164.54,0.11,0.11,0.12,195,29,225,0.3,0.2,30.0,30.5,-0.0,Medium
Broker 242,Broker,Basic,Emerging Partner,Excellent,3,0,3,3,554002679.49,554002679.49,0.0,0.0,100.0,100.0,184667559.83,184667559.83,0.0,184667559.83,0.11,0.11,0.12,196,29,226,0.3,0.2,30.0,30.5,-0.2,Medium
Broker 82,Broker,Basic,Emerging Partner,Excellent,3,0,3,3,544417065.5899999,544417065.5899999,0.0,0.0,100.0,100.0,181472355.2,181472355.2,0.0,181472355.2,0.11,0.11,0.12,197,29,238,0.3,0.2,30.0,30.5,-2.0,Medium
Broker 514,Broker,Basic,Emerging Partner,Excellent,4,0,4,4,536736812.09999996,536736812.09999996,0.0,0.0,100.0,100.0,134184203.02,134184203.02,0.0,134184203.02,0.11,0.15,0.12,198,28,341,0.3,0.3,30.0,30.6,-27.5,Medium
Broker 443,Broker,Basic,Emerging Partner,Excellent,2,0,2,2,535886109.9,535886109.9,0.0,0.0,100.0,100.0,267943054.95,267943054.95,0.0,267943054.95,0.11,0.08,0.12,199,30,77,0.3,0.2,30.0,30.5,44.8,High
Broker 115,Broker,Basic,Emerging Partner,Excellent,7,0,7,7,525695442.62,525695442.62,0.0,0.0,100.0,100.0,75099348.95,75099348.95,0.0,75099348.95,0.11,0.27,0.12,200,25,454,0.2,0.6,30.0,30.8,-59.4,Medium
Broker 482,Broker,Basic,Emerging Partner,Excellent,2,0,2,2,521285947.20000005,521285947.20000005,0.0,0.0,100.0,100.0,260642973.6,260642973.6,0.0,260642973.6,0.11,0.08,0.12,201,30,85,0.2,0.2,30.0,30.4,40.8,High
Broker 352,Broker,Basic,Emerging Partner,Excellent,3,0,3,3,520212866.31,520212866.31,0.0,0.0,100.0,100.0,173404288.77,173404288.77,0.0,173404288.77,0.11,0.11,0.12,202,29,254,0.2,0.2,30.0,30.4,-6.3,Medium
Broker 254,Broker,Basic,Emerging Partner,Excellent,2,0,2,2,519657236.3,519657236.3,0.0,0.0,100.0,100.0,259828618.15,259828618.15,0.0,259828618.15,0.11,0.08,0.12,203,30,88,0.2,0.2,30.0,30.4,40.4,High
Broker 533,Broker,Basic,Emerging Partner,Excellent,3,0,3,3,518165682.6,518165682.6,0.0,0.0,100.0,100.0,172721894.2,172721894.2,0.0,172721894.2,0.11,0.11,0.12,204,29,256,0.2,0.2,30.0,30.4,-6.7,Medium
Broker 216,Broker,Basic,Emerging Partner,Excellent,4,0,4,4,517567572.06999993,517567572.06999993,0.0,0.0,100.0,100.0,129391893.02,129391893.02,0.0,129391893.02,0.11,0.15,0.12,205,28,352,0.2,0.3,30.0,30.5,-30.1,Medium
Broker 522,Broker,Basic,Emerging Partner,Excellent,5,0,5,5,517566541.93999994,517566541.93999994,0.0,0.0,100.0,100.0,103513308.39,103513308.39,0.0,103513308.39,0.11,0.19,0.12,206,27,401,0.2,0.4,30.0,30.6,-44.1,Medium
Broker 458,Broker,Basic,Emerging Partner,High Risk,2,1,1,3,516383329.69,287610745.89,-228772583.8,50.0,66.67,66.67,516383329.69,143805372.94,-228772583.8,172127776.56,0.11,0.04,0.06,207,31,16,0.2,0.1,26.2,26.5,179.0,Medium
